"Size";"CustomDoublyLinkedList()";"CustomDoublyLinkedList(Collection)";"add(T)";"add(int, T)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(T)";"addLast(T)";"clone()";"contains(T)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(T)";"lastIndexOf(T)";"offer(T)";"offerFirst(T)";"offerLast(T)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(T)";"pop()";"remove()";"remove(int)";"remove(T)";"removeFirst()";"removeFirstOccurrence(T)";"removeLast()";"removeLastOccurrence(T)";"set(int, T)";"size()";"toArray()";"toString()"
1000;7768;42457;26129;3274;11949;34118;105;80;28728;17619;115;20162;4157;14048;5708;14732;68;128;96;104;169;94;164;204;6110;130;176;145;4394;17626;122;17193;2610;17322;3912;66;9170;64911
2500;37;31185;27315;3049;10692;34113;54;94;23472;4302;20;13654;3677;7000;4429;13322;64;74;109;18;21;20;44;42;4957;90;44;44;3680;17636;41;17491;5463;16394;3763;21;8885;51937
5000;45;11434;24187;5177;11076;16224;63;53;24309;12529;227;12885;6098;11902;10560;10632;138;161;140;173;19;142;74;62;10040;138;203;160;5220;10768;171;10768;10310;10631;7408;13;10482;113964
7500;32;15366;22040;7291;15978;23873;69;50;14028;15566;97;16409;7403;17591;15780;15222;127;95;52;18;13;186;14;17;13818;128;260;218;7255;15142;171;15317;14216;15143;7561;10;15458;131420
10000;50;22100;62355;10125;20381;29795;63;46;18602;20374;19;21466;9525;20399;19760;20148;54;90;44;13;10;17;54;26;18027;62;20;24;9802;19759;23;20248;18067;19816;9487;12;20016;179720
25000;25;75336;73349;22832;51675;101032;65;54;106812;48520;21;52923;22697;52662;50142;49998;56;58;45;17;12;25;20;14;45201;59;23;19;23513;48559;24;49763;45541;49729;22544;14;48187;450842
50000;45;219613;256260;46332;113873;152140;77;56;106351;91472;12;108709;45922;103040;91187;92038;51;71;53;14;18;23;20;43;91305;74;30;20;46325;94395;27;99323;96307;85203;46232;15;77424;838599
100000;31;214600;309744;94212;271182;318890;77;50;243023;148592;15;234791;93427;214058;154804;143202;56;62;45;26;14;23;52;22;187182;119;20;25;93511;195285;77;238752;222313;183933;103387;10;122659;1714875
250000;33;525927;808859;304401;524193;1459515;70;51;705277;425096;30;603112;303782;618857;445693;634703;58;66;40;74;18;34;32;75;566290;76;46;44;296041;668632;54;649576;591700;620365;301098;11;678086;4086237
500000;47;1295140;1495508;513607;1312797;2257178;79;49;1343145;775704;15;1190436;497913;1072996;777832;1088207;65;65;47;19;19;19;14;231;1075600;70;324;183;503175;1147093;181;1169030;1025615;1085221;505442;6;887795;8201481
1000000;41;2325395;3827285;968878;2931108;4601062;75;53;2537752;1514834;16;2354984;970444;2132116;1502860;2098508;68;62;53;16;14;14;11;62;2008345;73;45;437;1003300;2208160;262;2239503;1931629;2064811;967325;8;44942649;27252515
